concentration_1	concentration_2	concentration_3	concentration_4	concentration_5	concentration_6
57	43	46	62	44	89
93	37	90	55	54	94
59	49	21	63	46	86
55	46	46	63	47	83
39	62	52	79	45	69
14	44	0	67	52	86
39	56	48	63	51	90
80	44	55	59	42	93
72	61	22	63	48	88
55	44	53	66	39	82
43	42	0	56	63	82
50	44	44	61	43	85
58	37	51	62	47	96
67	31	58	69	60	84
57	46	43	65	50	80
57	49	117	49	19	91
57	44	40	60	43	88
51	45	48	65	46	88
60	42	6	69	55	84
58	46	55	66	44	81
58	61	89	59	76	89
57	45	46	69	47	87
50	45	52	61	50	88
52	48	62	67	32	85
54	57	24	72	30	78
52	43	38	65	42	84
53	44	48	72	45	89
53	44	48	72	45	89
70	46	48	73	51	80
55	44	42	66	48	88
48	31	25	63	26	81
55	48	66	68	44	83
55	41	51	64	93	91
66	46	43	64	51	91
47	55	36	42	44	79
51	44	41	64	46	79
0	12	90	31	0	58
59	47	84	63	79	85
79	47	78	74	43	77
53	45	42	58	46	82
109	79	49	64	96	75
58	45	48	65	46	89
35	68	0	49	17	68
62	47	42	64	44	88
64	81	63	63	58	90
57	48	56	57	47	83
59	50	74	58	57	78
54	45	39	60	48	87
55	45	123	63	50	79
58	46	51	64	47	86
44	44	16	94	26	86
51	46	35	63	46	92
59	45	0	71	40	94
71	45	47	64	49	91
0	84	0	50	89	80
62	44	57	66	53	87
44	45	47	66	24	87
60	45	52	65	46	86
55	42	33	57	44	81
56	42	42	64	47	84
61	44	50	77	45	98
35	39	58	64	48	88
47	59	23	60	40	78
54	41	37	71	46	83
58	44	64	66	55	101
61	42	51	65	47	83
69	37	22	58	48	66
