concentration_1	concentration_2	concentration_3	concentration_4	concentration_5	concentration_6
350	25	18	15	53	107
343	28	23	23	50	100
326	26	33	25	50	99
321	3	49	36	36	89
298	21	18	21	56	83
306	24	17	24	60	83
306	25	44	56	68	91
289	45	58	24	66	87
271	24	35	22	61	89
264	36	0	12	52	93
271	23	13	20	60	89
292	21	18	22	60	88
317	36	56	9	62	88
300	30	47	12	64	96
300	27	33	25	68	95
291	37	48	31	3	92
298	11	0	22	76	97
276	24	21	21	43	97
288	30	0	37	82	114
266	25	25	27	40	103
287	23	17	21	36	98
293	28	36	24	37	96
281	26	22	24	35	92
308	55	123	47	39	97
270	25	11	23	35	92
306	22	18	21	34	90
320	22	21	21	37	86
343	32	40	25	43	84
328	28	45	21	44	86
317	26	34	20	43	88
321	27	18	20	24	91
294	21	73	19	38	84
298	22	22	19	36	87
312	15	0	28	39	85
222	38	28	23	48	87
225	8	0	24	44	81
240	7	68	27	24	84
236	21	19	22	36	76
239	22	17	23	35	75
221	23	22	20	34	82
275	29	31	42	42	84
220	23	20	20	38	82
220	23	20	20	38	82
209	17	31	9	34	86
225	21	17	20	46	102
233	22	14	20	44	111
247	0	22	41	92	108
276	23	31	31	43	113
288	39	25	22	54	117
298	26	21	21	59	114
301	28	22	24	59	114
312	34	17	28	59	117
279	16	26	27	54	98
274	25	15	21	50	106
266	21	18	23	47	101
233	19	31	13	36	99
278	22	0	20	93	95
273	27	32	23	53	90
315	20	62	23	52	74
323	25	42	24	43	91
307	24	17	21	60	79
297	22	42	22	63	78
295	32	98	27	110	77
277	23	26	23	60	77
267	33	0	16	64	76
250	21	20	24	57	75
245	24	25	23	55	77
258	25	27	38	65	80
259	24	25	23	56	77
265	20	31	25	54	77
260	21	18	20	50	76
260	24	19	22	49	79
291	0	85	14	0	68
344	23	23	26	48	81
263	68	60	13	62	82
311	12	6	21	45	71
289	7	139	30	0	61
351	26	47	31	56	100
289	29	23	24	50	80
243	22	0	18	46	86
223	23	19	24	49	79
233	25	25	16	47	81
240	29	53	24	52	81
206	26	23	23	49	82
207	25	25	24	49	82
207	25	25	24	49	82
