concentration_1	concentration_2	concentration_3	concentration_4	concentration_5	concentration_6
127	22	0	27	23	81
135	38	20	23	30	82
166	35	17	17	29	83
189	16	67	18	40	93
151	37	25	22	21	81
113	64	0	29	42	102
147	43	12	23	25	83
153	44	34	26	23	77
149	38	110	23	67	79
168	58	37	13	13	74
213	42	17	20	26	74
237	0	43	8	0	77
225	43	24	12	30	84
206	37	0	25	20	71
164	39	16	22	21	64
146	39	17	21	25	64
162	42	35	47	13	62
173	47	42	27	32	61
181	40	31	19	36	65
139	22	83	14	13	59
148	40	16	21	32	60
150	41	27	23	36	60
150	45	27	26	40	67
156	42	33	30	37	68
162	42	16	26	40	68
170	41	17	24	40	68
191	45	14	25	37	70
213	53	0	24	40	75
207	45	34	34	46	75
211	40	20	28	43	72
206	6	70	17	0	74
264	43	17	26	46	72
234	69	0	55	48	65
252	66	42	33	56	71
243	9	0	26	50	73
217	37	0	12	68	69
227	38	14	27	43	68
209	38	33	17	23	64
232	48	11	27	49	66
201	36	18	18	43	63
201	36	18	18	43	63
205	32	15	30	33	53
153	22	0	36	22	52
171	33	17	22	38	58
185	32	29	13	49	60
186	23	80	17	38	58
178	36	12	23	34	54
236	22	0	31	35	70
148	36	19	25	35	49
122	35	15	14	27	47
99	29	21	24	36	51
92	42	162	33	43	51
105	35	32	26	48	52
84	48	0	31	18	56
120	31	23	23	47	54
140	34	25	23	46	55
153	49	21	25	22	60
150	39	22	20	44	54
134	37	42	22	41	48
126	36	12	21	44	45
134	38	15	20	49	48
105	38	26	22	53	51
93	69	17	23	53	47
83	40	21	23	50	54
64	36	16	25	38	75
86	45	24	32	54	58
146	61	32	61	55	53
181	57	8	26	56	57
199	12	55	3	87	61
214	35	22	19	24	71
189	42	15	24	39	68
211	42	18	26	46	48
279	49	60	34	48	67
294	39	7	23	41	67
272	42	60	16	15	73
212	42	14	29	41	60
209	41	22	27	44	62
206	39	35	26	36	94
154	43	33	31	41	80
136	38	0	23	38	84
142	45	0	23	42	75
148	47	22	24	57	77
132	46	130	21	63	91
132	46	130	21	63	91
133	53	21	37	80	81
143	61	27	28	91	79
146	57	0	24	94	52
125	52	22	30	95	76
148	47	72	45	80	66
152	44	15	28	102	75
194	49	13	22	96	72
171	49	12	39	102	80
250	36	2	36	114	69
229	47	22	29	94	68
259	88	48	17	59	66
243	58	27	30	103	64
193	53	26	29	93	68
193	71	15	17	110	76
243	44	40	31	77	61
154	54	26	24	84	71
187	41	13	13	65	65
148	52	6	26	82	76
121	15	141	37	71	89
131	50	28	35	96	68
160	51	14	26	67	73
172	57	28	25	112	69
221	52	28	26	61	70
177	50	39	37	41	68
206	56	0	15	30	68
292	45	15	24	57	69
294	47	16	14	56	69
292	47	37	23	62	70
199	47	29	22	57	70
173	44	23	31	50	73
165	43	18	25	52	69
182	40	14	25	60	69
128	37	34	29	73	82
105	38	18	28	65	66
114	35	33	29	59	60
136	26	52	57	50	48
106	34	21	23	52	57
115	47	31	26	53	57
96	30	32	22	54	63
89	36	25	28	49	54
118	56	15	21	54	51
140	35	13	24	36	49
89	37	142	33	35	39
89	37	142	33	35	39
171	43	42	31	39	47
175	35	23	25	35	52
120	35	23	20	36	47
125	36	0	9	0	47
75	14	2	19	36	49
130	41	20	25	30	45
146	34	0	23	13	63
129	59	0	26	23	54
71	0	122	25	39	42
110	43	29	38	45	59
111	45	31	20	26	62
112	28	102	26	39	61
104	52	0	21	40	54
103	40	20	25	27	67
93	58	46	31	36	73
134	40	31	27	31	69
198	50	13	29	23	66
146	38	19	24	25	65
167	38	23	17	23	68
188	26	90	26	26	69
249	43	24	17	30	75
271	43	7	21	28	71
200	26	17	32	44	75
145	42	22	24	31	73
171	70	22	20	17	92
213	46	46	65	38	79
218	45	0	50	0	90
189	42	19	23	42	77
156	44	21	26	37	73
186	49	36	28	46	78
179	43	27	21	41	74
161	45	30	30	48	79
142	41	15	29	38	78
154	42	21	26	40	80
162	42	21	27	37	83
157	43	27	29	48	82
148	42	34	29	39	77
157	18	134	6	36	89
137	46	13	26	35	70
123	47	19	30	37	69
143	32	12	21	0	55
119	41	20	15	44	71
132	19	0	26	60	64
132	19	0	26	60	64
201	47	0	28	31	58
189	36	0	58	75	62
183	41	24	27	8	57
151	52	30	30	34	69
179	37	0	17	13	60
