x	y	z	w	concentration
0.0845884	4.47751	0.00603031	0.999982	32
0.0845884	4.47751	0.00603031	0.999982	32
0.0845884	4.47751	0.00603031	0.999982	32
0.0845884	4.47751	0.00603031	0.999982	32
0.0845884	4.47751	0.00603031	0.999982	32
0.0845884	4.47751	0.00603031	0.999982	32
0.0845884	4.47751	0.00603031	0.999982	32
0.0845884	4.47751	0.00603031	0.999982	32
0.0845884	4.47751	0.00603031	0.999982	32
0.0845884	4.47751	0.00603031	0.999982	32
0.0845884	4.47751	0.00603031	0.999982	32
0.0845884	4.47751	0.00603031	0.999982	31
0.0845884	4.47751	0.00603031	0.999982	31
0.0845884	4.47751	0.00603031	0.999982	31
0.0845884	4.47751	0.00603031	0.999982	31
0.0845884	4.47751	0.00603031	0.999982	31
0.0845884	4.47751	0.00603031	0.999982	31
0.0845884	4.47751	0.00603031	0.999982	31
0.0845884	4.47751	0.00603031	0.999982	31
